,loss,mse,mae,val_loss,val_mse,val_mae
0,0.04276539385318756,0.04276539385318756,0.15966293215751648,0.018072407692670822,0.018072407692670822,0.11232759803533554
1,0.017943309620022774,0.017943309620022774,0.10789629817008972,0.01599331945180893,0.01599331945180893,0.09840883314609528
2,0.015427122823894024,0.015427122823894024,0.09766584634780884,0.015090923756361008,0.015090923756361008,0.0948438048362732
3,0.013520940206944942,0.013520940206944942,0.09095511585474014,0.011080996133387089,0.011080996133387089,0.08242365717887878
4,0.01133007649332285,0.01133007649332285,0.08110328763723373,0.009950916282832623,0.009950916282832623,0.07806975394487381
0,0.01736951805651188,0.01736951805651188,0.10355459898710251,0.0135466568171978,0.0135466568171978,0.09055131673812866
1,0.013120708987116814,0.013120708987116814,0.08806049823760986,0.014926966279745102,0.014926966279745102,0.0915447324514389
2,0.011300468817353249,0.011300468817353249,0.08067783713340759,0.00879259780049324,0.00879259780049324,0.07344821095466614
3,0.010063832625746727,0.010063832625746727,0.07564392685890198,0.009358488954603672,0.009358488954603672,0.07513495534658432
4,0.009432092308998108,0.009432092308998108,0.07238291203975677,0.006839161738753319,0.006839161738753319,0.06404727697372437
0,0.009029531851410866,0.009029531851410866,0.07112517952919006,0.007544716354459524,0.007544716354459524,0.06952272355556488
1,0.00977264903485775,0.00977264903485775,0.07340607047080994,0.008037257008254528,0.008037257008254528,0.07080638408660889
2,0.007846641354262829,0.007846641354262829,0.06697041541337967,0.0075504835695028305,0.0075504835695028305,0.0685313269495964
3,0.007447792217135429,0.007447792217135429,0.0646868646144867,0.005385140422731638,0.005385140422731638,0.059103675186634064
4,0.006916734855622053,0.006916734855622053,0.06318124383687973,0.005044012796133757,0.005044012796133757,0.056799329817295074
0,0.006867105606943369,0.006867105606943369,0.06262392550706863,0.005251732189208269,0.005251732189208269,0.057512346655130386
1,0.0059457700699567795,0.0059457700699567795,0.058944687247276306,0.005612035281956196,0.005612035281956196,0.0581979937851429
2,0.005528140813112259,0.005528140813112259,0.056779809296131134,0.005363787990063429,0.005363787990063429,0.057428229600191116
3,0.005555618088692427,0.005555618088692427,0.05694984644651413,0.00399407371878624,0.00399407371878624,0.05110612511634827
4,0.005575513932853937,0.005575513932853937,0.05687759444117546,0.004118403885513544,0.004118403885513544,0.05090492218732834
0,0.005568959284573793,0.005568959284573793,0.05646207928657532,0.006035828962922096,0.006035828962922096,0.06052481010556221
1,0.005761675536632538,0.005761675536632538,0.057803910225629807,0.006507460959255695,0.006507460959255695,0.06201659515500069
2,0.005137498490512371,0.005137498490512371,0.05456719547510147,0.005490240175276995,0.005490240175276995,0.05693024396896362
3,0.004954781848937273,0.004954781848937273,0.05400625243782997,0.007386553101241589,0.007386551704257727,0.06835642457008362
4,0.005627294536679983,0.005627294536679983,0.05731663852930069,0.004201177507638931,0.004201177507638931,0.05083198845386505
0,0.005558411590754986,0.005558411590754986,0.05637843906879425,0.004549485165625811,0.004549485165625811,0.05197398364543915
1,0.005311859305948019,0.005311859305948019,0.05528996139764786,0.004512426443397999,0.004512426443397999,0.053769636899232864
2,0.005093391984701157,0.005093391984701157,0.05469522997736931,0.004615397658199072,0.004615397658199072,0.052710212767124176
3,0.005112463142722845,0.005112463142722845,0.054653920233249664,0.004694034811109304,0.004694034811109304,0.05253441631793976
4,0.004779228009283543,0.004779228009283543,0.05293887481093407,0.005504081957042217,0.005504081957042217,0.05675830319523811
0,0.005545265041291714,0.005545265041291714,0.056248970329761505,0.005015640053898096,0.005015640053898096,0.055709268897771835
1,0.005169902928173542,0.005169902928173542,0.05502277985215187,0.004027051385492086,0.004027051385492086,0.04941120371222496
2,0.004756534472107887,0.004756534472107887,0.05277004465460777,0.0043845162726938725,0.0043845162726938725,0.051027439534664154
3,0.005096617620438337,0.005096617620438337,0.05421530827879906,0.0038138062227517366,0.0038138062227517366,0.04752155765891075
4,0.004746730905026197,0.004746730905026197,0.052900686860084534,0.004174274858087301,0.0041742753237485886,0.050494927912950516
0,0.005267652217298746,0.005267652217298746,0.05525290593504906,0.00668627955019474,0.00668627955019474,0.06274037063121796
1,0.005327682942152023,0.005327682942152023,0.056155975908041,0.004084864631295204,0.004084864631295204,0.04912317916750908
2,0.004633747041225433,0.004633747041225433,0.051677361130714417,0.00470587145537138,0.00470587145537138,0.052871719002723694
3,0.005003840662539005,0.005003840662539005,0.054322149604558945,0.004399816505610943,0.004399816505610943,0.05326450988650322
4,0.004711369518190622,0.004711369518190622,0.0525226891040802,0.005520612467080355,0.005520612467080355,0.05654333904385567
0,0.005145450122654438,0.005145450122654438,0.05418414622545242,0.0035130020696669817,0.0035130020696669817,0.0469137541949749
1,0.0044737388379871845,0.0044737388379871845,0.05091533064842224,0.004297490231692791,0.004297490231692791,0.05101904273033142
2,0.004882901906967163,0.004882901906967163,0.05327032506465912,0.004299795255064964,0.004299795255064964,0.05298510193824768
3,0.004385229200124741,0.004385229200124741,0.05067307874560356,0.003462894819676876,0.003462894819676876,0.04580887407064438
4,0.004748029634356499,0.004748029634356499,0.052384842187166214,0.004098385106772184,0.004098385106772184,0.04903348162770271
