,loss,mse,mae,val_loss,val_mse,val_mae
0,0.03616859391331673,0.03616859391331673,0.14345315098762512,0.016524076461791992,0.016524076461791992,0.10533136129379272
1,0.015402719378471375,0.015402719378471375,0.0985724925994873,0.016681985929608345,0.016681985929608345,0.10464910417795181
2,0.012010459788143635,0.012010459788143635,0.08444575220346451,0.01083239447325468,0.01083239447325468,0.08156490325927734
3,0.010845774784684181,0.010845774784684181,0.07886991649866104,0.009966539219021797,0.009966539219021797,0.0762987956404686
4,0.0097499405965209,0.0097499405965209,0.07464055716991425,0.014253733679652214,0.014253733679652214,0.0942348763346672
0,0.0167581494897604,0.0167581494897604,0.1018068715929985,0.012639095075428486,0.012639095075428486,0.08902797102928162
1,0.011171698570251465,0.01117169763892889,0.08099924772977829,0.010346713475883007,0.010346713475883007,0.07783342897891998
2,0.009471215307712555,0.009471215307712555,0.07415950298309326,0.008091487921774387,0.008091487921774387,0.06909789144992828
3,0.009155170060694218,0.009155170060694218,0.07282736897468567,0.008816882036626339,0.008816882036626339,0.07272794097661972
4,0.008382049389183521,0.008382049389183521,0.06931984424591064,0.008019871078431606,0.008019871078431606,0.06959377974271774
0,0.009497166611254215,0.009497166611254215,0.07371123880147934,0.009563048370182514,0.009563048370182514,0.07516844570636749
1,0.008209234103560448,0.008209234103560448,0.06894683837890625,0.00958320964127779,0.00958320964127779,0.0736827403306961
2,0.0072403098456561565,0.0072403098456561565,0.06460891664028168,0.009356847032904625,0.009356847032904625,0.07135853171348572
3,0.007455571088939905,0.007455571088939905,0.06637455523014069,0.00748757179826498,0.00748757179826498,0.06726441532373428
4,0.006459160707890987,0.006459160707890987,0.06130853667855263,0.007425646297633648,0.007425646297633648,0.06556304544210434
0,0.006896731909364462,0.006896731909364462,0.06336525082588196,0.006530251353979111,0.006530251353979111,0.06147855892777443
1,0.006207754835486412,0.006207754835486412,0.06030729413032532,0.011303429491817951,0.011303429491817951,0.08343013375997543
2,0.006334348116070032,0.006334348116070032,0.060409415513277054,0.006701816339045763,0.006701816339045763,0.0642208606004715
3,0.005984198767691851,0.005984198767691851,0.059173841029405594,0.005889954045414925,0.005889954045414925,0.05863518640398979
4,0.005970264319330454,0.005970264319330454,0.0591554269194603,0.006639991421252489,0.006639991421252489,0.06314575672149658
0,0.006364972330629826,0.006364972330629826,0.06038512662053108,0.005799675825983286,0.005799675825983286,0.058024775236845016
1,0.005926073063164949,0.005926073063164949,0.059070516377687454,0.006447523832321167,0.006447523832321167,0.061788178980350494
2,0.006184759549796581,0.006184759549796581,0.05972244590520859,0.007614310830831528,0.007614310830831528,0.06644653528928757
3,0.005625502672046423,0.005625502672046423,0.057501278817653656,0.005798317492008209,0.005798317492008209,0.0584573820233345
4,0.005417065694928169,0.005417065694928169,0.05653231218457222,0.0060135372914373875,0.0060135372914373875,0.05957242473959923
0,0.00632512429729104,0.00632512429729104,0.06040523201227188,0.0075076366774737835,0.0075076366774737835,0.06620723009109497
1,0.006003622896969318,0.006003622896969318,0.058948688209056854,0.005369959864765406,0.005369959864765406,0.056597959250211716
2,0.0056666419841349125,0.0056666419841349125,0.057391323149204254,0.0060040601529181,0.0060040601529181,0.06095115467905998
3,0.005805413704365492,0.005805413704365492,0.058272141963243484,0.008337415754795074,0.008337415754795074,0.069895900785923
4,0.0052155982702970505,0.0052155982702970505,0.05498262494802475,0.0058749341405928135,0.0058749341405928135,0.05768256634473801
0,0.005225525237619877,0.005225525237619877,0.05532464757561684,0.007172939833253622,0.007172939833253622,0.06343857198953629
1,0.005385983735322952,0.005385983735322952,0.056225407868623734,0.005591357126832008,0.005591357126832008,0.05710219219326973
2,0.005662035662680864,0.005662035662680864,0.05748284235596657,0.007664678618311882,0.007664678618311882,0.06901179999113083
3,0.00549196545034647,0.00549196545034647,0.05680320784449577,0.00631201546639204,0.00631201546639204,0.06195889785885811
4,0.004971032962203026,0.004971032962203026,0.05408678948879242,0.006890574935823679,0.006890574935823679,0.062335457652807236
0,0.005193544086068869,0.005193544086068869,0.05531090870499611,0.005227813962846994,0.005227813962846994,0.05553948134183884
1,0.00496233906596899,0.00496233906596899,0.05400511249899864,0.0052398331463336945,0.0052398331463336945,0.05601769685745239
2,0.004946551751345396,0.004946551751345396,0.05395789071917534,0.005177399143576622,0.005177399143576622,0.05494822561740875
3,0.005519750993698835,0.005519750993698835,0.05676580220460892,0.007104028481990099,0.007104028481990099,0.06402606517076492
4,0.005477605387568474,0.005477605387568474,0.056238286197185516,0.006406117230653763,0.006406117230653763,0.0622287392616272
0,0.004974485374987125,0.004974485374987125,0.0538250096142292,0.006209554150700569,0.006209554150700569,0.0612652413547039
1,0.0049790325574576855,0.0049790325574576855,0.05406535789370537,0.006582806818187237,0.006582806818187237,0.06144946441054344
2,0.005168331321328878,0.005168331321328878,0.05487396940588951,0.005589016247540712,0.005589016247540712,0.05824972689151764
3,0.004934624303132296,0.004934624303132296,0.05378209799528122,0.004729024134576321,0.004729024134576321,0.05358206853270531
4,0.004603616893291473,0.004603616893291473,0.05222506821155548,0.005391636863350868,0.005391636863350868,0.05667822062969208
