Building,Appartment,Energy,Temperature,Humidity
411,801,14,-5.8375,84.04166667
411,802,14.2,-5.8375,84.04166667
411,803,14.1,-5.8375,84.04166667
411,901,5,-5.8375,84.04166667
411,902,7.8,-5.8375,84.04166667
411,903,9.9,-5.8375,84.04166667
411,1001,17.2,-5.8375,84.04166667
411,1002,24.3,-5.8375,84.04166667
411,1003,8.1,-5.8375,84.04166667
411,1101,17.8,-5.8375,84.04166667
411,1102,16.1,-5.8375,84.04166667
411,1103,8.1,-5.8375,84.04166667
411,1201,12.5,-5.8375,84.04166667
411,1202,16.1,-5.8375,84.04166667
411,1203,8.1,-5.8375,84.04166667
411,1301,10.9,-5.8375,84.04166667
411,1302,14.3,-5.8375,84.04166667
411,1303,13.8,-5.8375,84.04166667
411,1401,9.5,-5.8375,84.04166667
411,1402,10.8,-5.8375,84.04166667
411,1403,15.9,-5.8375,84.04166667
411,1501,11.6,-5.8375,84.04166667
411,1502,14.9,-5.8375,84.04166667
411,1503,9.2,-5.8375,84.04166667
411,1601,14.5,-5.8375,84.04166667
411,1602,2.8,-5.8375,84.04166667
411,1603,3.5,-5.8375,84.04166667
411,1701,11.5,-5.8375,84.04166667
411,1702,15,-5.8375,84.04166667
411,1703,11.6,-5.8375,84.04166667
411,1801,11.2,-5.8375,84.04166667
411,1802,8.6,-5.8375,84.04166667
411,1803,16.6,-5.8375,84.04166667
411,1901,9.6,-5.8375,84.04166667
411,1902,13.5,-5.8375,84.04166667
411,1903,9.7,-5.8375,84.04166667
411,2001,8.6,-5.8375,84.04166667
411,2002,16.3,-5.8375,84.04166667
411,2003,17.2,-5.8375,84.04166667
411,2101,12.4,-5.8375,84.04166667
411,2102,17.7,-5.8375,84.04166667
411,2103,13.6,-5.8375,84.04166667
411,2201,16.9,-5.8375,84.04166667
411,2202,17.4,-5.8375,84.04166667
411,2203,13,-5.8375,84.04166667
411,2301,3.3,-5.8375,84.04166667
411,2302,11.2,-5.8375,84.04166667
411,2303,12.2,-5.8375,84.04166667
411,2401,8.4,-5.8375,84.04166667
411,2402,12,-5.8375,84.04166667
411,2403,6.3,-5.8375,84.04166667
411,2501,14.1,-5.8375,84.04166667
411,2502,14.9,-5.8375,84.04166667
411,2503,12,-5.8375,84.04166667
411,102,14.5,-9.679166667,66.45833333
411,103,9.3,-9.679166667,66.45833333
411,202,9.8,-9.679166667,66.45833333
411,203,15.4,-9.679166667,66.45833333
411,301,12.7,-9.679166667,66.45833333
411,302,13.9,-9.679166667,66.45833333
411,303,14.6,-9.679166667,66.45833333
411,401,2.8,-9.679166667,66.45833333
411,402,16.1,-9.679166667,66.45833333
411,403,7.2,-9.679166667,66.45833333
411,501,5.8,-9.679166667,66.45833333
411,502,9.1,-9.679166667,66.45833333
411,503,7.6,-9.679166667,66.45833333
411,601,12.6,-9.679166667,66.45833333
411,602,13.6,-9.679166667,66.45833333
411,603,12.4,-9.679166667,66.45833333
411,701,6.1,-9.679166667,66.45833333
411,702,17.3,-9.679166667,66.45833333
411,703,10.5,-9.679166667,66.45833333
411,801,12.2,-9.679166667,66.45833333
411,802,11.6,-9.679166667,66.45833333
411,803,11.8,-9.679166667,66.45833333
411,901,4,-9.679166667,66.45833333
411,902,7.5,-9.679166667,66.45833333
411,903,9.5,-9.679166667,66.45833333
411,1001,11.2,-9.679166667,66.45833333
411,1002,23.7,-9.679166667,66.45833333
411,1003,7.4,-9.679166667,66.45833333
411,1101,12.4,-9.679166667,66.45833333
411,1102,11.3,-9.679166667,66.45833333
411,1103,8,-9.679166667,66.45833333
411,1201,9.5,-9.679166667,66.45833333
411,1202,16.7,-9.679166667,66.45833333
411,1203,9,-9.679166667,66.45833333
411,1301,11,-9.679166667,66.45833333
411,1302,14.4,-9.679166667,66.45833333
411,1303,9.6,-9.679166667,66.45833333
411,1401,7.8,-9.679166667,66.45833333
411,1402,10.4,-9.679166667,66.45833333
411,1403,19,-9.679166667,66.45833333
411,1501,9.6,-9.679166667,66.45833333
411,1502,15.1,-9.679166667,66.45833333
411,1503,8.7,-9.679166667,66.45833333
411,1601,11.7,-9.679166667,66.45833333
411,1602,2.6,-9.679166667,66.45833333
411,1603,3,-9.679166667,66.45833333
411,1701,14,-9.679166667,66.45833333
411,1702,15.1,-9.679166667,66.45833333
411,1703,9.5,-9.679166667,66.45833333
411,1801,8.1,-9.679166667,66.45833333
411,1802,7.3,-9.679166667,66.45833333
411,1803,13.3,-9.679166667,66.45833333
411,1901,7.9,-9.679166667,66.45833333
411,1902,9.9,-9.679166667,66.45833333
411,1903,10.5,-9.679166667,66.45833333
411,2001,8.1,-9.679166667,66.45833333
411,2002,13.3,-9.679166667,66.45833333
411,2003,13.1,-9.679166667,66.45833333
411,2101,9.4,-9.679166667,66.45833333
411,2102,12.8,-9.679166667,66.45833333
411,2103,15.4,-9.679166667,66.45833333
411,2201,9.1,-9.679166667,66.45833333
411,2202,15.1,-9.679166667,66.45833333
411,2203,14.8,-9.679166667,66.45833333
411,2301,3.2,-9.679166667,66.45833333
411,2302,8.7,-9.679166667,66.45833333
411,2303,14.1,-9.679166667,66.45833333
411,2401,7.5,-9.679166667,66.45833333
411,2402,10.9,-9.679166667,66.45833333
411,2403,6.4,-9.679166667,66.45833333
411,2501,13.6,-9.679166667,66.45833333
411,2502,16.3,-9.679166667,66.45833333
411,2503,9.9,-9.679166667,66.45833333
411,102,11.8,-11.15416667,65.79166667
411,103,11.1,-11.15416667,65.79166667
411,202,10.8,-11.15416667,65.79166667
411,203,16.6,-11.15416667,65.79166667
411,301,13.7,-11.15416667,65.79166667
411,302,11.4,-11.15416667,65.79166667
411,303,14.2,-11.15416667,65.79166667
411,401,4.2,-11.15416667,65.79166667
411,402,18.7,-11.15416667,65.79166667
411,403,7.1,-11.15416667,65.79166667
411,501,5.5,-11.15416667,65.79166667
411,502,8.9,-11.15416667,65.79166667
411,503,8.4,-11.15416667,65.79166667
411,601,9.5,-11.15416667,65.79166667
411,602,14.3,-11.15416667,65.79166667
411,603,11.9,-11.15416667,65.79166667
411,701,5.5,-11.15416667,65.79166667
411,702,16.6,-11.15416667,65.79166667
411,703,8.6,-11.15416667,65.79166667
411,801,12.9,-11.15416667,65.79166667
411,802,12.7,-11.15416667,65.79166667
411,803,13.4,-11.15416667,65.79166667
411,901,5.9,-11.15416667,65.79166667
411,902,7.4,-11.15416667,65.79166667
411,903,10.2,-11.15416667,65.79166667
411,1001,10.4,-11.15416667,65.79166667
411,1002,21.1,-11.15416667,65.79166667
411,1003,8.7,-11.15416667,65.79166667
411,1101,15.9,-11.15416667,65.79166667
411,1102,12.8,-11.15416667,65.79166667
411,1103,6.7,-11.15416667,65.79166667
411,1201,11.3,-11.15416667,65.79166667
411,1202,15.1,-11.15416667,65.79166667
411,1203,12.5,-11.15416667,65.79166667
411,1301,10.5,-11.15416667,65.79166667
411,1302,15.1,-11.15416667,65.79166667
411,1303,11.2,-11.15416667,65.79166667
411,1401,8,-11.15416667,65.79166667
411,1402,8.3,-11.15416667,65.79166667
411,1403,17.3,-11.15416667,65.79166667
411,1501,10.2,-11.15416667,65.79166667
411,1502,13.4,-11.15416667,65.79166667
411,1503,7.5,-11.15416667,65.79166667
411,1601,12.1,-11.15416667,65.79166667
411,1602,2.6,-11.15416667,65.79166667
411,1603,2.8,-11.15416667,65.79166667
411,1701,12.3,-11.15416667,65.79166667
411,1702,12.2,-11.15416667,65.79166667
411,1703,9.4,-11.15416667,65.79166667
411,1801,9.3,-11.15416667,65.79166667
411,1802,8.3,-11.15416667,65.79166667
411,1803,13.7,-11.15416667,65.79166667
411,1901,8.4,-11.15416667,65.79166667
411,1902,9.7,-11.15416667,65.79166667
411,1903,12.2,-11.15416667,65.79166667
411,2001,7.9,-11.15416667,65.79166667
411,2002,14.7,-11.15416667,65.79166667
411,2003,12.7,-11.15416667,65.79166667
411,2101,10.9,-11.15416667,65.79166667
411,2102,13.9,-11.15416667,65.79166667
411,2103,12.5,-11.15416667,65.79166667
411,2201,6.1,-11.15416667,65.79166667
411,2202,12.8,-11.15416667,65.79166667
411,2203,14.4,-11.15416667,65.79166667
411,2301,3.5,-11.15416667,65.79166667
411,2302,7.2,-11.15416667,65.79166667
411,2303,11.9,-11.15416667,65.79166667
411,2401,7.5,-11.15416667,65.79166667
411,2402,12.3,-11.15416667,65.79166667
411,2403,6.4,-11.15416667,65.79166667
411,2501,13,-11.15416667,65.79166667
411,2502,14.7,-11.15416667,65.79166667
411,2503,12.1,-11.15416667,65.79166667
411,102,13,-10.125,66
411,103,8.1,-10.125,66
411,202,13.8,-10.125,66
411,203,15.4,-10.125,66
411,301,11.4,-10.125,66
411,302,9.5,-10.125,66
411,303,16.9,-10.125,66
411,401,4.3,-10.125,66
411,402,13.5,-10.125,66
411,403,7.6,-10.125,66
411,501,4.9,-10.125,66
411,502,10.7,-10.125,66
411,503,7.8,-10.125,66
411,601,9.9,-10.125,66
411,602,12.5,-10.125,66
411,603,11.9,-10.125,66
411,701,6.4,-10.125,66
411,702,16,-10.125,66
411,703,9,-10.125,66
411,801,12.6,-10.125,66
411,802,13.8,-10.125,66
411,803,11.4,-10.125,66
411,901,4.8,-10.125,66
411,902,6.2,-10.125,66
411,903,11.7,-10.125,66
411,1001,10.1,-10.125,66
411,1002,21.7,-10.125,66
411,1003,7.9,-10.125,66
411,1101,13.3,-10.125,66
411,1102,13.4,-10.125,66
411,1103,7.1,-10.125,66
411,1201,8.9,-10.125,66
411,1202,13.4,-10.125,66
411,1203,11.4,-10.125,66
411,1301,8.8,-10.125,66
411,1302,12.5,-10.125,66
411,1303,12,-10.125,66
411,1401,8.8,-10.125,66
411,1402,8.9,-10.125,66
411,1403,16.1,-10.125,66
411,1501,9.4,-10.125,66
411,1502,13.6,-10.125,66
411,1503,7.6,-10.125,66
411,1601,14,-10.125,66
411,1602,2.6,-10.125,66
411,1603,3.3,-10.125,66
411,1701,10.4,-10.125,66
411,1702,15.6,-10.125,66
411,1703,10.5,-10.125,66
411,1801,10.6,-10.125,66
411,1802,9.2,-10.125,66
411,1803,15.4,-10.125,66
411,1901,7.7,-10.125,66
411,1902,11.4,-10.125,66
411,1903,9.8,-10.125,66
411,2001,5.9,-10.125,66
411,2002,15.3,-10.125,66
411,2003,12.7,-10.125,66
411,2101,11,-10.125,66
411,2102,14.6,-10.125,66
411,2103,10.4,-10.125,66
411,2201,12,-10.125,66
411,2202,11.7,-10.125,66
411,2203,12,-10.125,66
411,2301,3.9,-10.125,66
411,2302,7.7,-10.125,66
411,2303,12.8,-10.125,66
411,2401,8,-10.125,66
411,2402,10.5,-10.125,66
411,2403,6,-10.125,66
411,2501,11.6,-10.125,66
411,2502,14.8,-10.125,66
411,2503,9.3,-10.125,66
411,102,12.3,-8.066666667,66.79166667
411,103,9.2,-8.066666667,66.79166667
411,202,8.9,-8.066666667,66.79166667
411,203,18,-8.066666667,66.79166667
411,301,10,-8.066666667,66.79166667
411,302,9.8,-8.066666667,66.79166667
411,303,13.9,-8.066666667,66.79166667
411,401,3.4,-8.066666667,66.79166667
411,402,11.1,-8.066666667,66.79166667
411,403,6.4,-8.066666667,66.79166667
411,501,6.4,-8.066666667,66.79166667
411,502,9.4,-8.066666667,66.79166667
411,503,7.3,-8.066666667,66.79166667
411,601,11.5,-8.066666667,66.79166667
411,602,13.9,-8.066666667,66.79166667
411,603,13.9,-8.066666667,66.79166667
411,701,5.2,-8.066666667,66.79166667
411,702,18.8,-8.066666667,66.79166667
411,703,7.8,-8.066666667,66.79166667
411,801,11.1,-8.066666667,66.79166667
411,802,11.9,-8.066666667,66.79166667
411,803,10.7,-8.066666667,66.79166667
411,901,4.1,-8.066666667,66.79166667
411,902,7.2,-8.066666667,66.79166667
411,903,7.8,-8.066666667,66.79166667
411,1001,11.7,-8.066666667,66.79166667
411,1002,21.1,-8.066666667,66.79166667
411,1003,7.2,-8.066666667,66.79166667
411,1101,10.1,-8.066666667,66.79166667
411,1102,14.6,-8.066666667,66.79166667
411,1103,8.5,-8.066666667,66.79166667
411,1201,10.1,-8.066666667,66.79166667
411,1202,11.8,-8.066666667,66.79166667
411,1203,8.2,-8.066666667,66.79166667
411,1301,9.9,-8.066666667,66.79166667
411,1302,14.6,-8.066666667,66.79166667
411,1303,7,-8.066666667,66.79166667
411,1401,9.1,-8.066666667,66.79166667
411,1402,10.1,-8.066666667,66.79166667
411,1403,17.3,-8.066666667,66.79166667
411,1501,11.3,-8.066666667,66.79166667
411,1502,13.6,-8.066666667,66.79166667
411,1503,7,-8.066666667,66.79166667
411,1601,11.3,-8.066666667,66.79166667
411,1602,2.6,-8.066666667,66.79166667
411,1603,3.2,-8.066666667,66.79166667
411,1701,9.6,-8.066666667,66.79166667
411,1702,16.1,-8.066666667,66.79166667
411,1703,9,-8.066666667,66.79166667
411,1801,8.5,-8.066666667,66.79166667
411,1802,8.7,-8.066666667,66.79166667
411,1803,12.6,-8.066666667,66.79166667
411,1901,7.9,-8.066666667,66.79166667
411,1902,11,-8.066666667,66.79166667
411,1903,11.1,-8.066666667,66.79166667
411,2001,6.7,-8.066666667,66.79166667
411,2002,14.6,-8.066666667,66.79166667
411,2003,14.7,-8.066666667,66.79166667
411,2101,10.3,-8.066666667,66.79166667
411,2102,10.8,-8.066666667,66.79166667
411,2103,13,-8.066666667,66.79166667
411,2201,20.9,-8.066666667,66.79166667
411,2202,17.5,-8.066666667,66.79166667
411,2203,12.3,-8.066666667,66.79166667
411,2301,3.8,-8.066666667,66.79166667
411,2302,10.3,-8.066666667,66.79166667
411,2303,11.9,-8.066666667,66.79166667
411,2401,7.8,-8.066666667,66.79166667
411,2402,13.3,-8.066666667,66.79166667
411,2403,6,-8.066666667,66.79166667
411,2501,11.2,-8.066666667,66.79166667
411,2502,14.9,-8.066666667,66.79166667
411,2503,10,-8.066666667,66.79166667
411,102,14.9,-5.3,75.25
411,103,12.1,-5.3,75.25
411,202,10.7,-5.3,75.25
411,203,16.6,-5.3,75.25
411,301,11,-5.3,75.25
411,302,10.8,-5.3,75.25
411,303,17.7,-5.3,75.25
411,401,3.7,-5.3,75.25
411,402,9.9,-5.3,75.25
411,403,10.7,-5.3,75.25
411,501,6.4,-5.3,75.25
411,502,10.4,-5.3,75.25
411,503,7,-5.3,75.25
411,601,13.2,-5.3,75.25
411,602,15.7,-5.3,75.25
411,603,12.6,-5.3,75.25
411,701,5.2,-5.3,75.25
411,702,22,-5.3,75.25
411,703,11,-5.3,75.25
411,801,11.4,-5.3,75.25
411,802,14.8,-5.3,75.25
411,803,8.7,-5.3,75.25
411,901,4.6,-5.3,75.25
411,902,7.4,-5.3,75.25
411,903,11.8,-5.3,75.25
411,1001,11.9,-5.3,75.25
411,1002,22.2,-5.3,75.25
411,1003,8.9,-5.3,75.25
411,1101,13.8,-5.3,75.25
411,1102,11.3,-5.3,75.25
411,1103,8,-5.3,75.25
411,1201,13.4,-5.3,75.25
411,1202,14.7,-5.3,75.25
411,1203,12.9,-5.3,75.25
411,1301,11.6,-5.3,75.25
411,1302,14.3,-5.3,75.25
411,1303,11.2,-5.3,75.25
411,1401,10.9,-5.3,75.25
411,1402,14.2,-5.3,75.25
411,1403,9.8,-5.3,75.25
411,1501,6.3,-5.3,75.25
411,1502,15.6,-5.3,75.25
411,1503,7.7,-5.3,75.25
411,1601,12,-5.3,75.25
411,1602,2.6,-5.3,75.25
411,1603,4,-5.3,75.25
411,1701,12.5,-5.3,75.25
411,1702,15.4,-5.3,75.25
411,1703,9.8,-5.3,75.25
411,1801,11.4,-5.3,75.25
411,1802,12.4,-5.3,75.25
411,1803,15.7,-5.3,75.25
411,1901,7.5,-5.3,75.25
411,1902,13.4,-5.3,75.25
411,1903,6.6,-5.3,75.25
411,2001,6.8,-5.3,75.25
411,2002,15.1,-5.3,75.25
411,2003,14.9,-5.3,75.25
411,2101,13.1,-5.3,75.25
411,2102,7.6,-5.3,75.25
411,2103,13.2,-5.3,75.25
411,2201,20.4,-5.3,75.25
411,2202,13.2,-5.3,75.25
411,2203,12,-5.3,75.25
411,2301,4,-5.3,75.25
411,2302,9.1,-5.3,75.25
411,2303,11.3,-5.3,75.25
411,2401,7.9,-5.3,75.25
411,2402,14.6,-5.3,75.25
411,2403,7.7,-5.3,75.25
411,2501,13.6,-5.3,75.25
411,2502,14.3,-5.3,75.25
411,2503,11.8,-5.3,75.25
411,102,15,-3.383333333,79.16666667
411,103,9.4,-3.383333333,79.16666667
411,202,14.8,-3.383333333,79.16666667
411,203,15.4,-3.383333333,79.16666667
411,301,14.8,-3.383333333,79.16666667
411,302,12.9,-3.383333333,79.16666667
411,303,17.3,-3.383333333,79.16666667
411,401,3.3,-3.383333333,79.16666667
411,402,11.8,-3.383333333,79.16666667
411,403,8.3,-3.383333333,79.16666667
411,501,6.9,-3.383333333,79.16666667
411,502,8.6,-3.383333333,79.16666667
411,503,9.3,-3.383333333,79.16666667
411,601,11.7,-3.383333333,79.16666667
411,602,17.8,-3.383333333,79.16666667
411,603,11.6,-3.383333333,79.16666667
411,701,6.7,-3.383333333,79.16666667
411,702,23,-3.383333333,79.16666667
411,703,11.2,-3.383333333,79.16666667
411,801,10,-3.383333333,79.16666667
411,802,15.7,-3.383333333,79.16666667
411,803,11.4,-3.383333333,79.16666667
411,901,4.5,-3.383333333,79.16666667
411,902,8.4,-3.383333333,79.16666667
411,903,10.6,-3.383333333,79.16666667
411,1001,14.2,-3.383333333,79.16666667
411,1002,20,-3.383333333,79.16666667
411,1003,8.1,-3.383333333,79.16666667
411,1101,14.9,-3.383333333,79.16666667
411,1102,15.3,-3.383333333,79.16666667
411,1103,7.9,-3.383333333,79.16666667
411,1201,11.8,-3.383333333,79.16666667
411,1202,17.7,-3.383333333,79.16666667
411,1203,11.7,-3.383333333,79.16666667
411,1301,10.7,-3.383333333,79.16666667
411,1302,16.2,-3.383333333,79.16666667
411,1303,12.6,-3.383333333,79.16666667
411,1401,11.8,-3.383333333,79.16666667
411,1402,12.4,-3.383333333,79.16666667
411,1403,16.2,-3.383333333,79.16666667
411,1501,7.8,-3.383333333,79.16666667
411,1502,14.4,-3.383333333,79.16666667
411,1503,9.1,-3.383333333,79.16666667
411,1601,11.2,-3.383333333,79.16666667
411,1602,3.8,-3.383333333,79.16666667
411,1603,3.7,-3.383333333,79.16666667
411,1701,12.2,-3.383333333,79.16666667
411,1702,15.4,-3.383333333,79.16666667
411,1703,11.2,-3.383333333,79.16666667
