,loss,mse,mae,val_loss,val_mse,val_mae
0,0.024224938824772835,0.024224938824772835,0.12107390910387039,0.012590141966938972,0.012590141966938972,0.08780243247747421
1,0.011656690388917923,0.011656690388917923,0.08225224167108536,0.009076770395040512,0.009076770395040512,0.07133062928915024
2,0.010121718980371952,0.010121718980371952,0.07631687074899673,0.011314920149743557,0.011314920149743557,0.08104463666677475
3,0.008649242110550404,0.008649242110550404,0.0700620636343956,0.007680078037083149,0.007680078037083149,0.06850637495517731
4,0.007150858175009489,0.007150858175009489,0.06410359591245651,0.0061917658895254135,0.0061917658895254135,0.06160752847790718
0,0.01368324737995863,0.01368324737995863,0.08975182473659515,0.010563108138740063,0.010563108138740063,0.07905372232198715
1,0.009465105831623077,0.009465105831623077,0.07326330244541168,0.008360445499420166,0.008360445499420166,0.07118634879589081
2,0.007604517508298159,0.007604517508298159,0.06617186218500137,0.006734960712492466,0.006734960712492466,0.06339593231678009
3,0.006880681961774826,0.006880681961774826,0.06310722231864929,0.006170632783323526,0.006170633248984814,0.06095068156719208
4,0.006166623905301094,0.006166623905301094,0.059879593551158905,0.012858659029006958,0.012858658097684383,0.08256632834672928
0,0.008330564945936203,0.008330564945936203,0.0692022293806076,0.00627056322991848,0.00627056322991848,0.06277307122945786
1,0.007390123791992664,0.007390123791992664,0.06512338668107986,0.006275488995015621,0.006275488995015621,0.06115832179784775
2,0.006575755309313536,0.006575755309313536,0.061575427651405334,0.00676646176725626,0.00676646176725626,0.06346525251865387
3,0.0063722385093569756,0.0063722385093569756,0.06086214259266853,0.005183420144021511,0.005183420144021511,0.05664576590061188
4,0.005869386252015829,0.005869386252015829,0.05825762823224068,0.00601709121838212,0.00601709121838212,0.062496546655893326
0,0.006721796002238989,0.006721796002238989,0.06277221441268921,0.006216520443558693,0.006216520443558693,0.062329020351171494
1,0.006164690479636192,0.006164690479636192,0.06020302325487137,0.005597093142569065,0.005597093142569065,0.059922955930233
2,0.005744101945310831,0.005744101945310831,0.05791462957859039,0.007135787978768349,0.007135787978768349,0.06409168243408203
3,0.005541968625038862,0.005541968625038862,0.05706613138318062,0.004809174221009016,0.004809174221009016,0.05410483479499817
4,0.005638408474624157,0.005638408474624157,0.05710913985967636,0.00461773993447423,0.00461773993447423,0.05418984964489937
0,0.00574111333116889,0.00574111333116889,0.057810693979263306,0.005208348389714956,0.005208348389714956,0.05710864067077637
1,0.005829867906868458,0.005829867906868458,0.05859501659870148,0.00818498246371746,0.00818498246371746,0.06932983547449112
2,0.0054852343164384365,0.0054852343164384365,0.05674923211336136,0.005488356575369835,0.005488356575369835,0.05838189646601677
3,0.005584849044680595,0.005584849044680595,0.05714268982410431,0.006514228414744139,0.006514228414744139,0.06178712472319603
4,0.005454489961266518,0.005454489961266518,0.056070029735565186,0.005543112754821777,0.005543112754821777,0.05798569321632385
0,0.005734150297939777,0.005734150297939777,0.05777551233768463,0.004735809750854969,0.004735809750854969,0.05519576370716095
1,0.005470938514918089,0.005470938514918089,0.05673828348517418,0.005209482274949551,0.005209482274949551,0.05626659095287323
2,0.005432402715086937,0.005432402715086937,0.05622091144323349,0.004833298269659281,0.004833298269659281,0.053692176938056946
3,0.004966244101524353,0.004966244101524353,0.05412128567695618,0.0053931185975670815,0.0053931185975670815,0.05741225555539131
4,0.00538665521889925,0.00538665521889925,0.055916428565979004,0.004858927335590124,0.004858927335590124,0.05614148825407028
0,0.005320493131875992,0.005320493131875992,0.05565200373530388,0.004856014624238014,0.004856014624238014,0.0557536743581295
1,0.005449076183140278,0.005449076183140278,0.05662110447883606,0.005936516914516687,0.005936516914516687,0.05946365371346474
2,0.0053853923454880714,0.0053853923454880714,0.05602703243494034,0.004699795972555876,0.004699795972555876,0.0535215400159359
3,0.005008865613490343,0.005008865613490343,0.05412565544247627,0.006299519911408424,0.006299519911408424,0.06043491140007973
4,0.005158396437764168,0.005158396437764168,0.05481627583503723,0.005143934395164251,0.005143934395164251,0.055070891976356506
0,0.0054469360038638115,0.0054469360038638115,0.056660789996385574,0.005043035838752985,0.005043036304414272,0.056334130465984344
1,0.005281612277030945,0.005281612277030945,0.055456437170505524,0.004516655579209328,0.004516655579209328,0.05355146899819374
2,0.005056115332990885,0.005056115332990885,0.05442037433385849,0.006145696621388197,0.006145696621388197,0.060717422515153885
3,0.005013016052544117,0.005013016052544117,0.05436057597398758,0.004611512646079063,0.004611512646079063,0.05414064973592758
4,0.0048407623544335365,0.0048407623544335365,0.05331746116280556,0.0048239873722195625,0.0048239873722195625,0.053642213344573975
0,0.005287822335958481,0.005287822335958481,0.05555330961942673,0.0051330639980733395,0.0051330639980733395,0.05595929175615311
1,0.005069675389677286,0.005069675389677286,0.05472271144390106,0.0044872392900288105,0.0044872392900288105,0.05403504520654678
2,0.0049741207621991634,0.0049741207621991634,0.053933724761009216,0.004486832767724991,0.004486832767724991,0.05295655131340027
3,0.004819544497877359,0.004819544497877359,0.05335042253136635,0.005247343797236681,0.005247343797236681,0.05480146408081055
4,0.0048781754449009895,0.0048781754449009895,0.05340344458818436,0.004744198173284531,0.004744198173284531,0.05394347012042999
